Hatcheries ,Assay Type,Larval Species Tested,Water Type,Filtered/Unfiltered ,Treatment,Sample_ID,Replicate,Alive,Dead,% Mortality,Mortality,Control Average Mort,Control Average Mort  Percent,Percent Viability + Control Mortality,,Date of Assay,Note,,,,,,,,,,,,,,,,,,,Incoming Water 0.22um filter,Incoming Water 10um filter,Incoming Water Unfiltered,Tank Water 0.22um filter,Tank Water Unfiltered,Shed Water 0.22um filter,Shed Water 10um filter,Shed Water Unfiltered,,,,,,,,
RRD-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R2 Acute Incoming Water 0.22um filter,1,28,6,18%,18,0,0%,82,,2024-07-12,,,RRD-R1,59%,,71%,2%,,7%,51%,,,39%,,Commercial Hatchery,RI,0,Crassostrea virginica,LGG-R3,2%,1%,0%,1%,1%,0%,3%,2%,,2%,LGG-R3,Neither,Non infectious ,,Non Microbial,Non Microbial
RRD-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R2 Acute Incoming Water 0.22um filter,2,24,10,29%,29,0,0%,71,,2024-07-12,,,RRD-R2,29%,,42%,,,,32%,,,21%,,Research Hatchery,DE,0,Crassostrea virginica,RGX-R1,,,,,,0%,1%,0%,,,RGX-R1,Neither,Non infectious ,,Non Microbial,Non Microbial
RRD-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R2 Acute Incoming Water 0.22um filter,3,23,15,39%,39,0,0%,61,,2024-07-12,,,RRD-R3,2%,7%,4%,15%,7%,3%,4%,,11%,5%,,Research Hatchery,FL,0,Crassostrea virginica,RRD-R1,59%,,71%,51%,39%,2%,,7%,,,RRD-R1,Both,Non infectious ,,Virus/Toxin/Pollutant,Toxin
WFH-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,WFH-R1 Acute Tank Water Unfiltered,1,22,19,46%,46,0,0%,54,,2024-07-12,,,S3W-R3,,,,,,,1%,,0%,2%,,Research Hatchery,FL,0,Crassostrea virginica,RRD-R2,29%,,42%,32%,21%,,,,,,RRD-R2,Both,Not tested,,Virus/Toxin,Virus/Toxin
WFH-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,WFH-R1 Acute Tank Water Unfiltered,2,20,11,35%,35,0,0%,65,,2024-07-12,,,S3W-R4,3%,,,4%,10%,5%,4%,,5%,6%,,Research Hatchery,FL,0,Argopecten irradians,RRD-R3,2%,7%,4%,4%,5%,15%,7%,3%,,11%,RRD-R3,Neither,Non infectious ,,Non Microbial,Non Microbial
WFH-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,WFH-R1 Acute Tank Water Unfiltered,3,26,18,41%,41,0,0%,59,,2024-07-12,,,S3W-R5,11%,15%,6%,4%,8%,5%,4%,,8%,9%,,Research Hatchery,MD,1,Crassostrea virginica,S3W-R3,,,,1%,2%,,,,,0%,S3W-R3,Neither,Not tested,,Non Microbial,Non Microbial
WFH-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,WFH-R1 Acute Tank Water 0.22um filter,1,28,13,32%,32,0,0%,68,,2024-07-12,,,TRG-R2,21%,,12%,19%,,12%,14%,,,19%,,Research Hatchery,MD,1,Crassostrea virginica,S3W-R4,3%,,,4%,6%,4%,10%,5%,,5%,S3W-R4,Neither,Non infectious ,,Non Microbial,Non Microbial
WFH-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,WFH-R1 Acute Tank Water 0.22um filter,2,34,12,26%,26,0,0%,74,,2024-07-12,,,TXP-R1,33%,,19%,18%,,21%,23%,,,16%,,Research Hatchery,MD,0,Crassostrea virginica,S3W-R5,11%,15%,6%,4%,9%,4%,8%,5%,,8%,S3W-R5,Incoming,Non infectious ,,Bacterial,Bacterial
WFH-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,WFH-R1 Acute Tank Water 0.22um filter,3,37,25,40%,40,0,0%,60,,2024-07-12,,,V7H-R1,28%,,22%,11%,,14%,39%,32%,21%,9%,,Commercial Hatchery,ME,0,Crassostrea virginica,TRG-R2,21%,,12%,14%,19%,19%,,12%,,,TRG-R2,Both,Infectious,Both,Virus/Toxin/Pollutant,Viral
WFH-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,WFH-R1 Acute Shed Water Unfiltered,1,26,5,16%,16,0,0%,84,,2024-07-12,,,V7H-R2,,,,,,,9%,12%,10%,13%,,Commercial Hatchery,ME,0,Crassostrea virginica,TXP-R1,33%,,19%,23%,16%,18%,,21%,,,TXP-R1,Both,Infectious,Both,Virus/Toxin/Pollutant,Viral
WFH-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,WFH-R1 Acute Shed Water Unfiltered,2,22,5,19%,19,0,0%,81,,2024-07-12,,,WFH-R1,,,,8%,,15%,33%,,,41%,,Research Hatchery,NY,0,Mercenaria mercenaria,V7H-R1,28%,,22%,39%,9%,11%,,14%,32%,21%,V7H-R1,Both,Infectious,Both,Virus/Toxin/Pollutant,Viral
WFH-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,WFH-R1 Acute Shed Water Unfiltered,3,37,4,10%,10,0,0%,90,,2024-07-12,,,XXH-R1,13%,,15%,11%,,17%,15%,,,12%,,Restoration Hatchery,NY,0,Mercenaria mercenaria,XXH-R1,13%,,15%,15%,12%,11%,,17%,,,XXH-R1,Both,Infectious,Both,Virus/Toxin/Pollutant,Viral
WFH-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,WFH-R1 Acute Shed Water 0.22um filter,1,27,5,16%,16,0,0%,84,,2024-07-12,,,XZV-R4,,,,,,,41%,28%,,11%,,Commercial Hatchery,MA,0,Mercenaria mercenaria,XZV-R4,,,,41%,11%,,,,28%,,XZV-R4,Tank,Not tested,,Virus/Toxin,Virus/Toxin
WFH-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,WFH-R1 Acute Shed Water 0.22um filter,2,19,1,5%,5,0,0%,95,,2024-07-12,,,Y9P-R1,,,,,,,25%,17%,25%,19%,,,,,,,,,,,,,,,,,,,,,,
WFH-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,WFH-R1 Acute Shed Water 0.22um filter,3,38,1,3%,3,0,0%,97,,2024-07-12,,,YPH-R2,8%,,6%,9%,,10%,6%,,,5%,,,,,,,,,,,,,,,,,,,,,,
FYC-E1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FYC-E1 Acute Shed Water Unfiltered,1,51,9,15%,15,0,0%,85,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FYC-E1 Acute Shed Water Unfiltered,2,32,11,26%,26,0,0%,74,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FYC-E1 Acute Shed Water Unfiltered,3,43,14,25%,25,0,0%,75,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,FYC-E1 Acute Shed Water 0.22um filter,1,72,25,26%,26,0,0%,74,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,FYC-E1 Acute Shed Water 0.22um filter,2,25,17,40%,40,0,0%,60,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,FYC-E1 Acute Shed Water 0.22um filter,3,15,20,57%,57,0,0%,43,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,FYC-E2 Acute Tank Water Unfiltered,1,17,28,62%,62,0,0%,38,,2024-07-12,,,,,,,,,,,,,,,Research Hatchery,NY,2,,V7H-R2,,,,9%,13%,,,,12%,10%,,,,,,
FYC-E2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,FYC-E2 Acute Tank Water Unfiltered,2,10,24,71%,71,0,0%,29,,2024-07-12,,,,,,,,,,,,,,,Research Hatchery,RI,2,,WFH-R1,,,,33%,41%,8%,,15%,,,,,,,Virus/Toxin/Pollutant,
FYC-E2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,FYC-E2 Acute Tank Water Unfiltered,3,21,26,55%,55,0,0%,45,,2024-07-12,,,,,,,,,,,,,,,Restoration Hatchery,NY,2,,Y9P-R1,,,,25%,19%,,,,17%,25%,,,,,Virus/Toxin/Pollutant,
FYC-E2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,FYC-E2 Acute Tank Water 0.22um filter,1,25,21,46%,46,0,0%,54,,2024-07-12,,,,,,,,,,,,,,,Research Hatchery,MD,2,,YPH-R2,8%,,6%,6%,5%,9%,,10%,,,,,,,Virus/Toxin/Pollutant,
FYC-E2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,FYC-E2 Acute Tank Water 0.22um filter,2,29,16,36%,36,0,0%,64,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,FYC-E2 Acute Tank Water 0.22um filter,3,38,28,42%,42,0,0%,58,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,FYC-E2 Acute Incoming Water Unfiltered,1,21,9,30%,30,0,0%,70,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,FYC-E2 Acute Incoming Water Unfiltered,2,27,15,36%,36,0,0%,64,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,FYC-E2 Acute Incoming Water Unfiltered,3,24,18,43%,43,0,0%,57,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,FYC-E2 Acute Incoming Water 0.22um filter,1,6,43,88%,88,0,0%,12,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,FYC-E2 Acute Incoming Water 0.22um filter,2,10,44,81%,81,0,0%,19,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,FYC-E2 Acute Incoming Water 0.22um filter,3,7,43,86%,86,0,0%,14,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FYC-E2 Acute Shed Water Unfiltered,1,16,1,6%,6,0,0%,94,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,>0.22um Filter,<0.22um Filter,Possible Crash Cause,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FYC-E2 Acute Shed Water Unfiltered,2,32,8,20%,20,0,0%,80,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,✓,X,Parasite/Bacteria,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FYC-E2 Acute Shed Water Unfiltered,3,22,9,29%,29,0,0%,71,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,✓,✓,"Infectious, virus/toxin",,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,FYC-E2 Acute Shed Water 0.22um filter,1,38,9,19%,19,0,0%,81,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,✓,✓,"Noninfectious, virus/toxin",,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,FYC-E2 Acute Shed Water 0.22um filter,2,31,18,37%,37,0,0%,63,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYC-E2,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,FYC-E2 Acute Shed Water 0.22um filter,3,30,10,25%,25,0,0%,75,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R1 Acute Tank Water Unfiltered,1,41,20,33%,33,0,0%,67,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R1 Acute Tank Water Unfiltered,2,22,15,41%,41,0,0%,59,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R1 Acute Tank Water Unfiltered,3,22,17,44%,44,0,0%,56,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R1 Acute Tank Water 0.22um filter,1,41,24,37%,37,0,0%,63,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R1 Acute Tank Water 0.22um filter,2,17,22,56%,56,0,0%,44,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R1 Acute Tank Water 0.22um filter,3,20,29,59%,59,0,0%,41,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R1 Acute Incoming Water Unfiltered,1,23,34,60%,60,0,0%,40,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R1 Acute Incoming Water Unfiltered,2,11,29,73%,73,0,0%,28,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R1 Acute Incoming Water Unfiltered,3,9,36,80%,80,0,0%,20,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R1 Acute Incoming Water 0.22um filter,1,11,26,70%,70,0,0%,30,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R1 Acute Incoming Water 0.22um filter,2,18,18,50%,50,0,0%,50,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R1 Acute Incoming Water 0.22um filter,3,16,20,56%,56,0,0%,44,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,B47-R1 Acute Tank Water Unfiltered,1,20,0,0%,0,0,0%,100,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,B47-R1 Acute Tank Water Unfiltered,2,26,0,0%,0,0,0%,100,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,B47-R1 Acute Tank Water Unfiltered,3,22,2,8%,8,0,0%,92,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,B47-R1 Acute Tank Water 0.22um filter,1,41,1,2%,2,0,0%,98,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,B47-R1 Acute Tank Water 0.22um filter,2,30,15,33%,33,0,0%,67,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,B47-R1 Acute Tank Water 0.22um filter,3,31,4,11%,11,0,0%,89,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,TRG-R2 Acute Tank Water Unfiltered,1,61,10,14%,14,15,15%,101,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,TRG-R2 Acute Tank Water Unfiltered,2,38,12,24%,24,15,15%,91,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,TRG-R2 Acute Tank Water Unfiltered,3,46,11,19%,19,15,15%,96,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,TRG-R2 Acute Tank Water 0.22um filter,1,50,9,15%,15,15,15%,100,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,TRG-R2 Acute Tank Water 0.22um filter,2,53,4,7%,7,15,15%,108,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,TRG-R2 Acute Tank Water 0.22um filter,3,73,18,20%,20,15,15%,95,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,TRG-R2 Acute Incoming Water Unfiltered,1,51,9,15%,15,15,15%,100,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,TRG-R2 Acute Incoming Water Unfiltered,2,49,2,4%,4,15,15%,111,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,TRG-R2 Acute Incoming Water Unfiltered,3,65,12,16%,16,15,15%,99,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,TRG-R2 Acute Incoming Water 0.22um filter,1,45,15,25%,25,15,15%,90,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,TRG-R2 Acute Incoming Water 0.22um filter,2,57,16,22%,22,15,15%,93,,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
